Price per Oz_1,Price per Oz_2,Price per Oz_3,Price per Oz_4,Price per Oz_5,Sales_1,Sales_2,Sales_3,Sales_4,Sales_5,GrMar_1,GrMar_2,GrMar_3,GrMar_4,GrMar_5,Profits_1,Profits_2,Profits_3,Profits_4,Profits_5,Feat_1,Feat_2,Feat_3,Feat_4,Feat_5,Disp_1,Disp_2,Disp_3,Disp_4,Disp_5,Total Profits
0.04732551254999427,0.05152574248738878,0.03578457299999547,0.04074821187499743,0.01836550312500553,12240.95608194303,11524.304692635824,46871.54249457909,10764.176132747414,103440.16107389772,0.3073305620185395,0.2988387733441724,0.29979355907324495,0.3220519905007254,0.12758045754852604,11398.334158908727,17037.440832591394,32263.213977414965,9038.120937803315,15787.966454555873,0,0,1,0,0,0,0,0,1,0,85525.07636127427
0.04718232063749417,0.05426166909548014,0.03128345399999037,0.036372607374995154,0.02393305593750124,11264.854538581638,10532.214444578476,72747.31742510502,12937.635070850665,30208.621884872093,0.3071587932146133,0.3195436033506489,0.2379507314304108,0.2720737911939777,0.25174820391250435,10465.984728511738,17524.852085695995,34549.77003620407,8164.098051919425,11553.227015463179,0,0,1,0,0,1,0,0,0,0,82257.93191779441
0.05546472268750016,0.04739815557313442,0.038306070999998325,0.03647310712499521,0.018249303750005618,15843.992078676181,13850.755019286582,12988.695566002627,13599.492771545138,158157.38174399245,0.38101715015501214,0.2671244370321743,0.33116132496526524,0.2721108626504499,0.12440976451000442,21431.80494282588,16810.239283035233,10648.094750209651,8661.866462582135,24154.227177186727,1,0,0,0,0,0,0,0,0,1,81706.23261583963
0.045589026499993,0.04870795350834666,0.030678947999989693,0.029453586124991573,0.027322872187498636,12514.626377643473,12833.778399913595,20920.989517090675,58234.65093442156,18330.170551180803,0.29141580370945375,0.27809473362793335,0.2299377338508206,0.1802563807097431,0.3132759429076034,10653.363283607025,16687.5036638148,9413.10176077907,19783.000261657256,10006.771183481658,0,0,0,1,0,0,1,0,0,0,66543.74015333981
0.05250542316249801,0.04109906155576501,0.03425424699999374,0.04548716162499988,0.01779051656250597,8938.035438298215,17195.457099132294,26636.60303992948,15873.36656675296,189134.36757732002,0.3554609335612644,0.21341942920896145,0.27941667008882126,0.36998970545224663,0.11210874299393035,10680.939042356917,14476.420099962728,16163.822371477232,17144.938800635988,24315.466954529795,0,0,0,1,0,1,0,0,0,0,82781.58726896266
0.055664736787500314,0.03812616492650039,0.03811818399999811,0.039341215374996706,0.022404433125002423,8040.640036967738,19846.913083551317,14581.643519262745,29101.99514510658,97120.30591140196,0.381546845665848,0.18457574053864112,0.32832155038131206,0.3064237743330787,0.21976587160813427,10921.488673938462,13391.41104871455,11683.24858955916,22438.486868134347,30918.368048492765,0,0,0,1,0,1,0,0,0,0,89353.00322883928
0.05268043549999815,0.04411504364342478,0.03836325399999839,0.03634941512499515,0.021426755625003176,9557.555481080437,15766.491473188758,33449.13931478462,14608.39048633413,79100.67261433844,0.3558871597661974,0.24020044676927607,0.33084452122569236,0.27080272979437475,0.1997634924925429,11467.011286629648,16038.575516238576,27172.571133604946,9182.108192516705,21561.970683653086,0,0,1,0,0,0,1,0,0,0,85422.23681264295
0.0541032630749992,0.050284881285608755,0.040767663000001106,0.02881193387499124,0.02672584781249909,9050.645588344192,16908.673239261476,6804.450226406662,33050.74543377794,24791.090633869506,0.3690706931915511,0.28977585175153914,0.3586014061223701,0.16909451700123784,0.3020997815588361,11563.361786350702,23673.76384360075,6339.773018586618,10378.296459288109,12877.258371081152,0,1,0,0,0,1,0,0,0,0,64832.45347890733
0.05228495307499786,0.04355493268428797,0.03465725099999418,0.042827783624998506,0.02185549125000284,9246.908419730576,16108.835262076493,65040.53085277968,8763.975546280635,79779.51621981831,0.35359552533847377,0.23613336452740105,0.28543874225445465,0.3428733294268459,0.20738840677780485,10942.680730703276,15924.723547954494,41094.687767125324,8238.951694185651,23355.316597652258,0,0,1,0,0,0,1,0,0,0,99556.360337621
0.05121669594999709,0.052870008789317136,0.03203500199999122,0.03304451949999344,0.02173127812500294,9356.879013063255,15310.686090494044,27450.44324816533,17027.175916880067,40128.472470718734,0.3449191560215384,0.30932266552940213,0.24867196675655023,0.2296404680172632,0.20425454559280876,10574.00719835095,24028.37566448954,13990.598292561182,8283.328413630463,11397.775331223318,0,1,0,0,0,0,0,1,0,0,68274.08490025546
0.04714595443749412,0.05486055696717259,0.037301283999997194,0.04150195999999781,0.023868945937501287,24051.03997237287,10362.962497004382,14214.352020098026,9944.88196057721,53941.97741328122,0.30729242104255877,0.3239360786438643,0.3178903308457709,0.3294945904254962,0.24886937359595301,22337.373926861852,17693.39517582835,10857.623933689149,8715.571050634293,20434.068182767693,1,0,0,0,0,0,0,0,0,1,80038.03226978134
0.05004615888749624,0.05712685207875694,0.03204044799999122,0.04615587150000022,0.026761909687499058,9984.575439580052,10207.967110672831,96475.85134347453,7402.768055131731,23906.065805483802,0.33281503744312424,0.33877084325275636,0.24968005777547259,0.37522987540128694,0.3050010470192979,10654.330890072517,18982.193806009993,49521.04482402771,8206.031679460506,12700.720772138655,0,0,1,0,0,0,1,0,0,0,100064.32197170937
0.05128942834999713,0.0384406887727849,0.04089292100000125,0.027489975624990563,0.02233230937500248,20202.66032345154,19052.09954930872,7134.690380242439,33291.56431563523,72283.91896954319,0.34484502075784434,0.18693995029062607,0.36006893138942503,0.1485621131201573,0.21907735207290377,22833.030121156666,13169.516542970285,6702.97383012452,8805.985351245225,21785.669948244304,1,0,0,0,0,0,0,1,0,0,73297.175793741
