Country Name,Country Code,Indicator Name,2014,2015,2016,2017,2018,2019,2020
Europe & Central Asia,ECS,"Literacy rate, adult total (% of people ages 15 and above)",98.11634827,98.16487122,98.25479126,98.27191925,98.33351898,98.37896729,
Ecuador,ECU,"Literacy rate, adult total (% of people ages 15 and above)",94.22264099,94.45565796,94.35022736,92.82978821,,,
"Egypt, Arab Rep.",EGY,"Literacy rate, adult total (% of people ages 15 and above)",,,,71.16825104,,,
Euro area,EMU,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Eritrea,ERI,"Literacy rate, adult total (% of people ages 15 and above)",,,,,76.57051849,,
Spain,ESP,"Literacy rate, adult total (% of people ages 15 and above)",98.09371948,98.14325714,98.25051117,,98.43650055,,
Estonia,EST,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Ethiopia,ETH,"Literacy rate, adult total (% of people ages 15 and above)",,,,51.7711792,,,
European Union,EUU,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Fragile and conflict affected situations,FCS,"Literacy rate, adult total (% of people ages 15 and above)",63.40736008,62.14889145,64.27200317,65.00601959,63.49599075,63.74937057,
Finland,FIN,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Fiji,FJI,"Literacy rate, adult total (% of people ages 15 and above)",,,,99.08210754,,,
France,FRA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Faroe Islands,FRO,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
"Micronesia, Fed. Sts.",FSM,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Gabon,GAB,"Literacy rate, adult total (% of people ages 15 and above)",,,,,84.66716003,,
United Kingdom,GBR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Georgia,GEO,"Literacy rate, adult total (% of people ages 15 and above)",99.58618927,,,99.36425781,,,
Ghana,GHA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,79.03964233,,
Gibraltar,GIB,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Guinea,GIN,"Literacy rate, adult total (% of people ages 15 and above)",32.0038414,,,,,,
"Gambia, The",GMB,"Literacy rate, adult total (% of people ages 15 and above)",,50.77796936,,,,,
Guinea-Bissau,GNB,"Literacy rate, adult total (% of people ages 15 and above)",45.5811615,,,,,,
Equatorial Guinea,GNQ,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Greece,GRC,"Literacy rate, adult total (% of people ages 15 and above)",,,,,97.93595123,,
Grenada,GRD,"Literacy rate, adult total (% of people ages 15 and above)",98.59999847,,,,,,
Greenland,GRL,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Guatemala,GTM,"Literacy rate, adult total (% of people ages 15 and above)",81.2858963,,,,,,
Guam,GUM,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Guyana,GUY,"Literacy rate, adult total (% of people ages 15 and above)",85.63973236,,,,,,
High income,HIC,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
"Hong Kong SAR, China",HKG,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Honduras,HND,"Literacy rate, adult total (% of people ages 15 and above)",87.19753265,87.90682983,88.98748016,,87.20523834,,
Heavily indebted poor countries (HIPC),HPC,"Literacy rate, adult total (% of people ages 15 and above)",59.1648407,59.64675903,60.4588089,61.38893127,61.88288879,62.5051918,
Croatia,HRV,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Haiti,HTI,"Literacy rate, adult total (% of people ages 15 and above)",,,61.69134903,,,,
Hungary,HUN,"Literacy rate, adult total (% of people ages 15 and above)",99.09999847,,,,,,
IBRD only,IBD,"Literacy rate, adult total (% of people ages 15 and above)",88.34095764,88.45137787,88.81774902,89.0443573,89.06654358,89.36553192,
IDA & IBRD total,IBT,"Literacy rate, adult total (% of people ages 15 and above)",83.07061005,83.28063965,83.81558228,84.09641266,84.12513733,84.4069519,
IDA total,IDA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
IDA blend,IDB,"Literacy rate, adult total (% of people ages 15 and above)",64.59924316,65.02774048,65.72805786,66.58383179,66.5693512,66.98145294,
Indonesia,IDN,"Literacy rate, adult total (% of people ages 15 and above)",95.11621857,95.21793365,95.37696838,,95.65856171,,
IDA only,IDX,"Literacy rate, adult total (% of people ages 15 and above)",61.27156067,62.39786911,64.25295258,64.97927856,65.49887085,66.05657196,
Isle of Man,IMN,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
India,IND,"Literacy rate, adult total (% of people ages 15 and above)",,,,,74.37299347,,
Not classified,INX,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Ireland,IRL,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
"Iran, Islamic Rep.",IRN,"Literacy rate, adult total (% of people ages 15 and above)",84.70523834,,85.54425049,,,,
Iraq,IRQ,"Literacy rate, adult total (% of people ages 15 and above)",82.19999695,,83.30000305,85.59999847,,,
Iceland,ISL,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Israel,ISR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Italy,ITA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,99.15576172,,
Jamaica,JAM,"Literacy rate, adult total (% of people ages 15 and above)",88.09999847,,,,,,
Jordan,JOR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,98.22711182,,
Japan,JPN,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Kazakhstan,KAZ,"Literacy rate, adult total (% of people ages 15 and above)",,,,,99.78163147,,
