"doc_id","text","timestamp","team","region","year","month","day","weekday","hour"
1274820484232814592,"check out adidas swingman dirk nowitzki  41 jersey mens sz m +2l dallas mavericks green  adidas",2020-06-21 21:44:23,"Dallas Mavericks","Southwest",2020,"Jun",21,"Sun",21
1187210594186924032,"h0egenic  cweb2424 when he sees the adidas capris  hole on the leg  and utah jazz tee in his closet",2019-10-24 03:33:57,"Utah Jazz","Northwest",2019,"Oct",24,"Thu",3
1204961204206067712,"jazz nation    selling my lightly used utah jazz jacket  this is is a vintage  feels weird saying that  adidas jack<u+2026>",2019-12-12 03:08:32,"Utah Jazz","Northwest",2019,"Dec",12,"Thu",3
1249465319019761664,"check out cleveland cavaliers lebron james alternate adidas brand jersey youth size s  adidas",2020-04-12 22:32:00,"Cleveland Cavaliers","Central",2020,"Apr",12,"Sun",22
1209682228055281664,"check out boston celtics paul pierce  34 nba green white swingman basketball jersey xl  adidas<u+2026>",2019-12-25 03:48:12,"Boston Celtics","Atlantic",2019,"Dec",25,"Wed",3
1299536787140902912,"utah jazz star partners with adidas to donate $90 000 for jacob blake s children s education",2020-08-29 02:38:08,"Utah Jazz","Northwest",2020,"Aug",29,"Sat",2
1252022110568042496,"check out  adidas houston  rockets nba 1 4 zip longsleeve pullover red m medium  ebay",2020-04-19 23:51:47,"Houston Rockets","Southwest",2020,"Apr",19,"Sun",23
1321924866367520768,"the only two football teams in the top 10   culturally relevant brands in sport    barcelona and  lfc   adidas  jordan  nba <u+2026>",2020-10-29 21:20:22,"Chicago Bulls","Central",2020,"Oct",29,"Thu",21
1210275749648834560,"adidas celebrates raptors  2019 nba championship title with am4   world champs",2019-12-26 19:06:39,"Toronto Raptors","Atlantic",2019,"Dec",26,"Thu",19
1223969905160134656,"just listed  brooklyn nets nba basketball adidas black silver flex fitted cap hat   s m  vi<u+2026>",2020-02-02 14:02:20,"Brooklyn Nets","Atlantic",2020,"Feb",2,"Sun",14
1188997248161669120,"adidas la clippers  paul  like new size l 73x55 price 200k",2019-10-29 01:53:29,"LA Clippers","Pacific",2019,"Oct",29,"Tue",1
