Price per Oz_1,Price per Oz_2,Price per Oz_3,Price per Oz_4,Price per Oz_5,Sales_1,Sales_2,Sales_3,Sales_4,Sales_5,GrMar_1,GrMar_2,GrMar_3,GrMar_4,GrMar_5,Profits_1,Profits_2,Profits_3,Profits_4,Profits_5,Feat_1,Feat_2,Feat_3,Feat_4,Feat_5,Disp_1,Disp_2,Disp_3,Disp_4,Disp_5,Total Profits
0.03570834375,0.0418964166402386,0.0320268750000017,0.0372093750000003,0.0343593749999979,45566.22058006443,14832.605352194343,17530.195089302455,12934.248982041068,15517.883165090883,0.1794830529076156,0.2195066941826677,0.2494540043403856,0.2821150380821126,0.4215326127495453,18700.964999879103,13098.085457533542,8990.889802785463,8688.32849110733,14421.098580991264,1,0,0,0,0,1,0,0,0,0,63899.36733229671
0.0379923125,0.0518524374878559,0.0306575000000015,0.0395734375000003,0.0224156249999992,38506.2690669161,10943.689044735758,24838.94211868402,8726.144645089802,43754.53535724245,0.208870802948012,0.3021359227548325,0.2287795016017146,0.3091615729513123,0.2210013896321545,19608.43004270536,16452.842156415434,11109.604874712186,6811.029434704082,13743.202707786217,1,0,0,0,0,0,1,0,0,0,67725.10921632327
0.0304139687499999,0.0445352499773579,0.028487500000001,0.0385959375000003,0.0163078124999999,34685.5871531476,12753.51428088331,25765.365386118818,16215.355345861057,156625.410590294,0.1084901357436824,0.2432393280386535,0.196764756778512,0.2969961669019382,0.0716048265477949,7325.100555871155,13239.282686455866,9420.35104405382,11925.74208039614,12830.600828669663,0,0,0,1,0,1,0,0,0,0,54741.07719544665
0.0567565625000004,0.0526375833223156,0.0326700000000019,0.0337031250000002,0.0185812499999996,13708.780660616088,11727.87311339881,24662.269445231843,19222.854689044467,69711.75110875587,0.3908549259770111,0.3078335463992308,0.2584627260716649,0.2394714972849409,0.1322290673962744,19479.551038910333,18242.32698780984,13284.699105649366,9934.163515007373,10833.979102258862,1,0,0,0,0,0,0,0,1,0,71774.71974963577
0.0454229062500001,0.0578362708297743,0.0352556250000024,0.0419375000000004,0.0224859374999992,13627.328900653038,9694.65600150222,17552.47267088682,8871.964202741816,82959.60853732917,0.2896860456876535,0.344351036293457,0.2924984880675819,0.3342528520571771,0.2220701505385906,11483.506102637848,18533.94513207923,11477.48851027813,7983.24369858454,26599.99539653056,0,0,0,0,1,0,1,0,0,0,76078.17884011031
0.0286779062499999,0.0541335416577953,0.0407375000000036,0.0208096874999999,0.0157734374999999,49914.90954809817,9121.45110667753,5685.5748891531575,43840.62245052306,122519.76487614034,0.0805307129269332,0.3189264708534568,0.3584756384730305,0.0264240742782363,0.0549977320504374,7344.851414111295,15107.890015639498,5318.4436964723245,1519.3342967654944,7141.664227157026,0,0,1,0,0,0,0,0,0,1,36432.18365014564
0.0571690312500003,0.0381332916348396,0.0238018750000001,0.0267809375000001,0.0291984374999984,5957.776776395613,19909.118521076714,91920.12898052664,32271.92313360617,33921.01686853766,0.3929967916465334,0.1843586132863467,0.1141369450493181,0.1364663183049761,0.3450161459674405,8566.255489271032,13435.049114340474,16045.484925097702,7520.036267359933,21814.00901949704,0,0,0,0,1,0,0,1,0,0,67380.83481556617
0.0271326874999999,0.0409579583055589,0.0284656250000009,0.0245124999999999,0.0349312499999977,48114.02714276989,14550.42597387139,12000.32322446784,34270.06033442643,17695.926716173373,0.0559293993520051,0.2111059170084744,0.19555089877361,0.0980311098602001,0.4278018412572163,4663.22327538941,12093.49127473286,4257.028824299486,5331.194897085118,17002.04778685318,0,0,0,0,1,0,1,0,0,0,43346.98605836006
0.0468450000000002,0.0486328749832368,0.0342143750000021,0.0232374999999999,0.023915624999999,23391.79996186387,12610.094384940014,11512.16503095188,47388.78744758924,25766.11746272392,0.3037745174429955,0.27840844657571,0.2796020743971302,0.0738503390030082,0.2496989560882165,21307.734713250324,16407.99528441546,7035.038422382294,5202.045778033868,9949.519213397814,1,0,0,0,0,0,0,1,0,0,59902.33341147976
0.0450843125000002,0.0423331249741985,0.028413125000001,0.024045,0.0159093749999999,12333.08386611933,16099.532378268992,21743.20303925373,30654.81195853545,219224.1929865192,0.2870704754922161,0.2241595550453774,0.1942029767017019,0.0898185906147197,0.0577628448018383,10210.018376076348,14658.33481747346,7677.899767855702,4256.520197043648,12798.257199544734,0,0,0,0,1,0,1,0,0,0,49601.03035799389
0.0400485000000001,0.0551045208258551,0.0272975000000008,0.0411140625000004,0.0316968749999982,16559.502643314245,9784.96213187724,56884.063038531865,9164.077847917844,22278.887008831505,0.2332719316634919,0.3256360002444713,0.1761775500954096,0.3253645058001853,0.3820729180234782,9924.967289837085,16868.94275115599,17745.74802934864,7855.694236400608,17250.215857235475,0,0,0,0,1,0,0,1,0,0,69645.56816397779
0.0482116875000003,0.0537990416573154,0.0357325000000025,0.0306218750000002,0.0217499999999993,11691.468495562824,10797.52353676773,14069.223149805744,21623.23895243512,76166.07169905129,0.3158681275847512,0.3157570733255548,0.2991740599610442,0.1947351107947887,0.2076801299285716,11406.737828084822,17625.558040428015,9640.044132112518,8259.937205043867,22635.593322123943,0,0,0,0,1,0,0,1,0,0,69567.87052779316
0.03633628125,0.0581800624969342,0.0308193750000014,0.0251021875000001,0.0388406249999974,43585.525152076014,8969.151688471096,12269.946535651034,41200.56615215821,3618.4381411279783,0.188497689416579,0.3458243774088907,0.2317262175746502,0.108602412860153,0.4789315912582967,19046.85767509353,17339.821724954243,5586.392168570477,7319.363705144833,4252.466344040261,1,0,0,0,0,0,1,0,0,0,53544.90161780335
